frame	anger	contempt	disgust	fear	happiness	neutral	sadness	surprise
175	0.00215443969	0.0159206111	0.000100395	2.80750555e-05	0.0183283035	0.9537307	0.009659996	7.74599248e-05
225	9.137978e-05	0.00162350025	8.283503e-05	0.00227180659	0.001053046	0.932212055	0.006683875	0.0559815
250	0.000422287179	0.002711701	1.016028e-05	3.876821e-06	0.000288700772	0.9951215	0.00137872319	6.305116e-05
275	6.36716359e-05	0.000255917315	3.45145878e-07	7.309711e-06	7.226838e-06	0.9990987	0.000455607165	0.000111233443
300	0.00183187088	0.00176075078	0.0006638603	0.00115860917	0.00436439225	0.9623377	0.00121173181	0.0266711228
325	0.165744483	0.0601872876	0.00247305934	0.000386358966	0.000106401938	0.6977365	0.07272328	0.0006426571
350	0.0007832694	0.00059374026	0.000146691047	0.00281107984	0.000285815273	0.9740814	0.00397347845	0.0173245333
375	9.510483e-05	0.00017663544	7.46745172e-06	0.0003398807	0.000169628736	0.9712815	0.0006847117	0.0272450168
400	2.87226749e-06	4.95473444e-07	2.57151083e-08	0.00465346873	2.46608556e-06	0.991831541	0.00223902776	0.00127009524
425	8.993722e-05	0.000473870983	3.348537e-06	0.000177847425	0.000135393158	0.8160236	0.183037028	5.89758565e-05
450	0.00118350622	0.003419592	0.000234331659	0.01763425	0.0018265883	0.8912559	0.07808836	0.00635742955
475	0.0180645585	0.005711081	0.0005194583	0.00337821874	0.002764423	0.9474757	0.00942332	0.0126632545
525	0.0007355073	0.000229270256	5.13943742e-05	0.004394179	0.00244859955	0.8768472	0.00215309346	0.113140769
550	0.0349532664	0.0034447303	0.00248384988	0.0376298539	0.00337027083	0.826901257	0.0358898826	0.0553268641
575	0.00664522825	0.006753507	0.00216710428	0.0249267016	0.125744671	0.4950001	0.00473956531	0.334023118
600	2.57371776e-05	0.0004905917	1.35035771e-06	1.55916916e-06	0.00421932945	0.9946751	4.160547e-05	0.00054475345
625	0.0007082336	0.0107076578	0.000950030633	0.001417203	0.11135716	0.7865354	0.0791963339	0.009127982
650	0.0148888631	0.0547081	0.00240892917	0.000144946272	0.0138877444	0.8577912	0.0556008	0.000569432159
675	0.00254100445	0.157416865	0.000227962475	1.72894852e-05	0.061050158	0.776847	0.0006624581	0.00123727357
700	0.0008429663	0.03479572	0.0001305849	1.21241364e-05	0.155906275	0.806206167	0.00171760086	0.000388558721
725	0.000325677276	0.010236931	3.05781978e-05	2.765772e-06	0.243001238	0.7457718	0.000514754269	0.000116209558
750	0.0006929185	0.06897907	4.919302e-05	7.344859e-07	0.1762901	0.753609538	0.00033939525	3.903233e-05
825	0.00121209421	0.06601191	0.005115469	0.0609664433	0.219671115	0.286738157	0.3494897	0.0107951006
850	3.02846656e-05	0.00130877679	2.7931701e-05	7.33761726e-06	0.9533944	0.0445454977	0.0006008543	8.489917e-05
900	1.176973e-06	1.13170688e-06	3.69042436e-06	1.68241536e-06	0.999893546	1.21808816e-05	5.29904369e-08	8.65301e-05
1875	7.669146e-05	0.00353238755	0.000140569173	7.579292e-05	0.224645749	0.7227937	0.0480506644	0.000684462
2025	0.000255927618	0.000382601633	0.000214620464	2.20018887e-06	0.0212589912	0.9663063	0.0115357386	4.35902366e-05
2300	0.00253470079	0.03212391	0.000942215964	0.000221182068	0.131032482	0.800149143	0.0318490341	0.00114729744
2550	1.24202516e-05	0.0123114688	1.55407361e-05	3.04450765e-07	0.0712072253	0.915054739	0.00137771433	2.05818087e-05
2575	0.0002684215	0.0113432128	7.652566e-05	1.02523131e-06	0.05676818	0.930634141	0.00085762277	5.09000347e-05
2950	0.0447794721	0.2731671	0.06174978	0.00255630049	0.03923683	0.483701557	0.08245172	0.0123572415
3000	0.01548504	0.009727809	0.00111435517	0.005980426	0.000356413948	0.91376555	0.04578847	0.00778190559
3025	1.84039382e-05	9.653537e-05	2.45354227e-06	2.69155947e-07	1.32221169e-06	0.986937344	0.01293792	5.725444e-06
